"","sampleID","algae","metabolite","replicate","time","time2","algae_present","exudates_present"
"SH5-8","SH5-8","Phaeodactylum spent medium","4hydroxybenzoic_acid",5,8,"8",FALSE,TRUE
"SL1-10","SL1-10","Phaeodactylum spent medium","lumichrome",1,10,"10",FALSE,TRUE
"SL1-6","SL1-6","Phaeodactylum spent medium","lumichrome",1,6,"6",FALSE,TRUE
"SL1-8","SL1-8","Phaeodactylum spent medium","lumichrome",1,8,"8",FALSE,TRUE
"SL2-10","SL2-10","Phaeodactylum spent medium","lumichrome",2,10,"10",FALSE,TRUE
"SL2-6","SL2-6","Phaeodactylum spent medium","lumichrome",2,6,"6",FALSE,TRUE
"SL2-8","SL2-8","Phaeodactylum spent medium","lumichrome",2,8,"8",FALSE,TRUE
"SL3-10","SL3-10","Phaeodactylum spent medium","lumichrome",3,10,"10",FALSE,TRUE
"SL3-6","SL3-6","Phaeodactylum spent medium","lumichrome",3,6,"6",FALSE,TRUE
"SL3-8","SL3-8","Phaeodactylum spent medium","lumichrome",3,8,"8",FALSE,TRUE
"SL4-10","SL4-10","Phaeodactylum spent medium","lumichrome",4,10,"10",FALSE,TRUE
"SL4-6","SL4-6","Phaeodactylum spent medium","lumichrome",4,6,"6",FALSE,TRUE
"SL4-8","SL4-8","Phaeodactylum spent medium","lumichrome",4,8,"8",FALSE,TRUE
"SL5-10","SL5-10","Phaeodactylum spent medium","lumichrome",5,10,"10",FALSE,TRUE
"SL5-6","SL5-6","Phaeodactylum spent medium","lumichrome",5,6,"6",FALSE,TRUE
"SL5-8","SL5-8","Phaeodactylum spent medium","lumichrome",5,8,"8",FALSE,TRUE
