"","Row.names","PStoP","LFC.PStoP","PtoC","LFC.PtoC","PStoC","LFC.PStoC","means","Kingdom","Phylum","Class","Order","Family","Genus","RDPGenus","Species"
"ASV20","ASV20",TRUE,-0.377948890047055,TRUE,0.47294601931357,TRUE,0.12061699553405,0.00606906661708212,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius","ASV20"
"ASV21","ASV21",TRUE,0.492496411925015,TRUE,-0.453710011262056,FALSE,0.064406266930495,0.0101985824597301,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Balneola","ASV21"
"ASV22","ASV22",FALSE,0.0270995332261774,FALSE,-0.00203142918708288,FALSE,0.05068797030663,0.00701528250961984,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Marivita","ASV22"
"ASV23","ASV23",TRUE,-2.26199249982193,TRUE,0.757319203223911,TRUE,-1.47905343033048,0.00334170789779837,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","Thalassospira","ASV23"
"ASV25","ASV25",TRUE,0.157398314938812,FALSE,0.0998925406610193,TRUE,0.282910721867367,0.00456972202638008,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nioella",NA,"ASV25"
"ASV26","ASV26",TRUE,-0.604018767275685,TRUE,0.558244794083763,FALSE,-0.0201541069243871,0.00292129896646557,"Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae","Thalassobaculum","Thalassobaculum","ASV26"
"ASV27","ASV27",TRUE,-1.42572663035274,TRUE,2.07713588141659,TRUE,0.677029117331381,0.002572222410486,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia","Roseibium","ASV27"
"ASV28","ASV28",TRUE,0.145221709126491,TRUE,-0.756057352297645,TRUE,-0.585215776903619,0.00494280093572964,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Hoeflea","Hoeflea","ASV28"
"ASV29","ASV29",TRUE,0.541745136708066,TRUE,-0.240443092670762,TRUE,0.32692191030484,0.00396875210262635,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Roseitalea",NA,"ASV29"
"ASV3","ASV3",TRUE,-0.839615670332639,TRUE,0.63053376132818,TRUE,-0.183462042736923,0.149406942351438,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","Marinobacter","ASV3"
"ASV30","ASV30",TRUE,-0.92898854297983,TRUE,-0.146146847200284,TRUE,-1.04951552391258,0.00201372705125133,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda","Muricauda","ASV30"
"ASV31","ASV31",TRUE,0.467165099590214,TRUE,-0.799743861274961,TRUE,-0.306958895417212,0.00388230387107957,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Oceanicaulis","Oceanicaulis","ASV31"
"ASV32","ASV32",TRUE,1.70615384886213,TRUE,-1.12254722495836,TRUE,0.609226490171307,0.00446133936663998,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis","Maricaulis","ASV32"
"ASV33","ASV33",NA,NA,TRUE,2.16365975159781,TRUE,2.60751787758905,0.00125816685718283,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas","Pusillimonas","ASV33"
"ASV34","ASV34",TRUE,-2.07707337635286,TRUE,-0.476776730733663,TRUE,-2.52823024081898,0.00128735479158669,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Arenibacter","Arenibacter","ASV34"
"ASV35","ASV35",FALSE,-0.0057767654876536,TRUE,-1.59075960900248,TRUE,-1.5709165082226,0.00220245011876641,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseibacterium","Aliiroseovarius","ASV35"
"ASV37","ASV37",TRUE,-0.195965507384866,TRUE,0.746753614845642,TRUE,0.576407973728311,0.00113907618292588,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudohongiellaceae","Pseudohongiella","Pseudohongiella","ASV37"
"ASV38","ASV38",TRUE,-1.33406591834222,NA,NA,TRUE,-1.62793948709851,0.000604644043509193,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,"Phaeodactylibacter","ASV38"
"ASV39","ASV39",TRUE,0.546339264188413,TRUE,1.00955660399138,TRUE,1.58151573444733,0.000700874015645514,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Pyruvatibacter","Pyruvatibacter","ASV39"
"ASV40","ASV40",NA,NA,NA,NA,NA,NA,0.000510433218767418,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus","ASV40"
"ASV41","ASV41",NA,NA,TRUE,1.57424453354512,TRUE,1.9756704703426,0.000476539773625041,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Mf105b01",NA,"ASV41"
"ASV42","ASV42",TRUE,-0.698357757579394,TRUE,-0.965143615715635,TRUE,-1.63788150702749,0.000468685623116875,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"ASV42"
"ASV43","ASV43",FALSE,-0.118834314549578,FALSE,0.156525153979142,FALSE,0.0633107056970999,0.000427029565974284,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Phocaeicola","ASV43"
"ASV44","ASV44",NA,NA,TRUE,0.816508986941303,TRUE,1.1530712521036,0.00019713994393851,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira",NA,"ASV44"
"ASV45","ASV45",FALSE,0.0548431121832674,FALSE,-0.179605987979076,FALSE,-0.0991430095282731,0.000217594798553582,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium","ASV45"
"ASV46","ASV46",FALSE,0.14079372751862,FALSE,-0.249155056506652,FALSE,-0.0827414627204958,0.00026708043743301,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium","ASV46"
"ASV47","ASV47",TRUE,0.947678840957621,TRUE,-1.03298271351982,NA,NA,0.000475206981994974,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","Prevotella","ASV47"
"ASV48","ASV48",TRUE,0.46287812002923,TRUE,-0.982754736736406,TRUE,-0.49425675043964,0.000307871672046554,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Cohaesibacter",NA,"ASV48"
