"","ASV1","ASV3","ASV5","ASV6","ASV7","ASV8","ASV9","ASV10","ASV12","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV20","ASV21","ASV22","ASV23","ASV25","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV37","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV57","ASV58","ASV59","ASV60","ASV61","ASV62","ASV63","ASV65","ASV66","ASV69","ASV70","ASV71","ASV74","ASV79"
"PC1-6",0.127792883319541,0.0788509280056744,0.353233242700083,0.0195058517555267,0.00236434566733656,0.0744768885211018,0.0721125428537653,0.0232888048232652,0.05851755526658,0.0497694762974347,0.00118217283366828,0.0198605036056271,0.000827520983567798,0.000118217283366828,0.0016550419671356,0.0513063009812035,0.00721125428537652,0.00744768885211018,0.00732947156874335,0.000118217283366828,0.0046104740513063,0.00283721480080388,0.000118217283366828,0.00579264688497458,0.00792055798557749,0.00141860740040194,0.00307364936753754,0.00531977775150727,0.000118217283366828,0.000118217283366828,0.00248256295070339,0.00070930370020097,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.00106395555030145,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.00200969381723608,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.00200969381723608,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828,0.000118217283366828
"PC1-8",0.119532525565008,0.0589499011772794,0.375698204004468,0.0226003265446421,0.00120305920769958,0.0247486465583913,0.0738162756724241,0.0223425281429922,0.0749334020795738,0.0682306436366762,0.00051559680329982,0.0179599553149437,8.59328005499699e-05,8.59328005499699e-05,0.00214832001374925,0.0323107330067887,0.00816361605224714,0.0177021569132938,0.0103119360659964,8.59328005499699e-05,0.00618716163959784,0.00326544642089886,8.59328005499699e-05,0.0103978688665464,0.00850734725444702,0.00111712640714961,0.00507003523244823,0.0120305920769958,8.59328005499699e-05,8.59328005499699e-05,0.0062730944401478,0.00051559680329982,8.59328005499699e-05,0.0008593280054997,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,0.00051559680329982,0.00111712640714961,0.00232018561484919,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,0.00266391681704907,8.59328005499699e-05,0.0034373120219988,8.59328005499699e-05,0.00146085760934949,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,0.00051559680329982,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05,8.59328005499699e-05
"PC2-10",0.1298828125,0.0942826704545454,0.315962357954546,0.0221946022727273,0.000799005681818182,0.0107421875,0.0673828125,0.0164240056818182,0.0997869318181818,0.0538884943181818,8.87784090909091e-05,0.00923295454545454,8.87784090909091e-05,8.87784090909091e-05,0.00230823863636364,0.0346235795454545,0.00328480113636363,0.0313387784090909,0.0141157670454545,8.87784090909091e-05,0.0106534090909091,0.001953125,8.87784090909091e-05,0.0181107954545454,0.0098544034090909,0.00124289772727273,0.0142933238636364,0.0192649147727273,8.87784090909091e-05,0.000355113636363636,0.0111860795454545,0.000532670454545454,8.87784090909091e-05,0.000799005681818182,8.87784090909091e-05,8.87784090909091e-05,0.000621448863636363,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,0.00177556818181818,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05,8.87784090909091e-05
"PC2-6",0.1248149975333,0.117661568820918,0.351751356684756,0.0226936359151455,0.00234336457819438,0.0463739516526887,0.0678342377898372,0.0247903305377405,0.0558707449432659,0.042920572274297,0.000123334977799704,0.0156635421805624,0.0030833744449926,0.000123334977799704,0.00394671928959053,0.0557474099654662,0.00357671435619142,0.00764676862358165,0.00727676369018254,0.000123334977799704,0.00579674395658609,0.00172668968919586,0.000123334977799704,0.00604341391218549,0.00592007893438579,0.00148001973359645,0.00345337937839171,0.00271336951159349,0.000123334977799704,0.000123334977799704,0.00234336457819438,0.00197335964479526,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.00345337937839171,0.00444005920078934,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.00185002466699556,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.000123334977799704,0.00061667488899852,0.000123334977799704,0.000123334977799704
"PC2-8",0.115428834214762,0.0932398252471833,0.388939986203725,0.0191998160496666,0.000114968958381237,0.0191998160496666,0.0639227408599678,0.0191998160496666,0.0779489537824787,0.0505863416877443,0.000114968958381237,0.0117268337548862,0.0021844102092435,0.000114968958381237,0.00160956541733732,0.0342607495976086,0.00482869625201196,0.0125316164635548,0.0100022993791676,0.000114968958381237,0.00793285812830536,0.0021844102092435,0.000114968958381237,0.0119567716716487,0.00747298229478041,0.00126465854219361,0.00747298229478041,0.0133363991722235,0.000114968958381237,0.000459875833524948,0.00873764083697402,0.000919751667049896,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000804782708668659,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.00666819958611175,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.00195447229248103,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237,0.000114968958381237
"PC3-10",0.123639117674903,0.0558553441257218,0.297358704913377,0.0260342705670738,9.46700747893591e-05,0.00823629650667424,0.0814162643188488,0.0173246236864527,0.102717031146455,0.0740319984852788,0.000473350373946795,0.00681624538483385,9.46700747893591e-05,9.46700747893591e-05,0.000757360598314872,0.0307677743065417,0.00549086433778282,0.0469563570955221,0.0115497491243018,9.46700747893591e-05,0.0126857900217741,0.00142005112184039,9.46700747893591e-05,0.0164725930133485,0.0117390892738805,0.0016093912714191,0.0157152324150336,0.0317144750544353,9.46700747893591e-05,9.46700747893591e-05,0.00984568777809334,0.000568020448736154,9.46700747893591e-05,0.00104137082268295,9.46700747893591e-05,9.46700747893591e-05,0.0020827416453659,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,0.00227208179494462,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05,9.46700747893591e-05
"PC3-6",0.120342089187538,0.0822061261890217,0.351165023125927,0.024522209616895,0.00226895889693691,0.0645780609128196,0.0638799197137621,0.0276638450126538,0.0676324286586963,0.0575966489222445,0.0015708176978794,0.0182389388253774,0.00253076184658347,8.72676498821887e-05,0.00165808534776158,0.0346452570032289,0.00418884719434506,0.00811589143904355,0.0102975826860983,8.72676498821887e-05,0.00881403263810106,0.00174535299764377,8.72676498821887e-05,0.00628327079151759,0.00628327079151759,0.000610873549175321,0.00375250894493411,0.00549786194257789,0.000436338249410943,8.72676498821887e-05,0.00253076184658347,0.0015708176978794,8.72676498821887e-05,0.000698141199057509,8.72676498821887e-05,0.000610873549175321,8.72676498821887e-05,0.009250370887512,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,0.00296710009599442,8.72676498821887e-05,0.00314163539575879,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05,8.72676498821887e-05
"PC3-8",0.124010783546395,0.0676580572223672,0.34637794590834,0.0248717279763458,8.69640838333768e-05,0.0199147751978433,0.0723541177493695,0.0205235237846769,0.0980954865640491,0.0696582311505349,0.000782676754500392,0.0103487259761718,0.000434820419166884,8.69640838333768e-05,0.00165231759283416,0.03322028002435,0.00504391686233585,0.0237411948865119,0.012001043569006,8.69640838333768e-05,0.00956604922167146,0.00156535350900078,8.69640838333768e-05,0.0111314027306722,0.00782676754500392,0.000956604922167145,0.00965301330550482,0.0128706844073398,8.69640838333768e-05,8.69640838333768e-05,0.00513088094616923,0.00130446125750065,8.69640838333768e-05,0.000608748586833638,8.69640838333768e-05,8.69640838333768e-05,0.000956604922167145,0.000695712670667014,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,0.00104356900600052,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,0.00313070701800157,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05,8.69640838333768e-05
"PC4-10",0.125413245174363,0.0929934947211262,0.289964807507732,0.0320998187053428,0.000106643915964594,0.0106643915964594,0.102484803241975,0.022608510184494,0.0797696491415165,0.0921403433934094,0.000106643915964594,0.0116241868401408,0.000106643915964594,0.000426575663858377,0.00149301482350432,0.00607870320998187,0.00767836194945078,0.0318865308734137,0.0109843233443532,0.000106643915964594,0.00725178628559241,0.00309267356297323,0.000106643915964594,0.0162098752266183,0.0119441185880345,0.00149301482350432,0.00842486936120294,0.0150367921510078,0.000106643915964594,0.000746507411752159,0.00714514236962781,0.000426575663858377,0.000106643915964594,0.00106643915964594,0.000106643915964594,0.000106643915964594,0.00234616615122107,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.00277274181507945,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594,0.000106643915964594
"PC4-6",0.0769118505545826,0.0827495621716287,0.2689725627554,0.0195563339171045,0.00175131348511384,0.0445125510799767,0.101722124927029,0.0478692352597782,0.109603035610041,0.0826036193812026,0.00102159953298307,0.0332749562171629,0.00539988324576766,0.000145942790426153,0.00145942790426153,0.0345884413309983,0.0112375948628138,0.00452422650321074,0.0122591943957968,0.000145942790426153,0.00569176882661996,0.00131348511383538,0.000145942790426153,0.0074430823117338,0.00861062463514303,0.00189725627553999,0.00452422650321074,0.00291885580852306,0.000145942790426153,0.000145942790426153,0.00262697022767075,0.000875656742556918,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000729713952130765,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.014302393461763,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.00335668417980152,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000875656742556918,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153,0.000145942790426153
"PC4-8",0.122077922077922,0.0923520923520923,0.328138528138528,0.0255411255411255,0.00173160173160173,0.0219336219336219,0.0844155844155844,0.0275613275613276,0.0926406926406926,0.0836940836940837,0.000144300144300144,0.010966810966811,0.000144300144300144,0.000144300144300144,0.000865800865800866,0.00952380952380952,0.00663780663780664,0.0173160173160173,0.0113997113997114,0.000144300144300144,0.00577200577200577,0.00158730158730159,0.000144300144300144,0.00779220779220779,0.00822510822510823,0.000721500721500721,0.00735930735930736,0.010966810966811,0.000144300144300144,0.000144300144300144,0.00404040404040404,0.00144300144300144,0.000144300144300144,0.000577200577200577,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.00158730158730159,0.000144300144300144,0.000144300144300144,0.00144300144300144,0.00663780663780664,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144,0.000144300144300144
