sample name,sample type,time point,replicate,5methylthioadenosine,5deoxyadenosine,pyridoxine,adenosine,biotin,choline,riboflavin,guanine,cytidine,betaine,thiamine,trigonelline,carnitine,glutathione,NAD,indole-3-pyruvic acid,lumichrome,5-hydroxyindoleacetic acid,indole-3-acetic acid,4-hydroxybenzoic acid,dethiobiotin,pyrrole-2-carboxylic acid,salicylic acid,2-methylmaleic acid,adenine,xanthine,4-pyridoxic acid,hypoxanthine,N-acetyl-leucine,pterin,2-oxovaleric acid,formyl-methionyl peptide,inosine,nicotinic acid,34-hydroxyphenyl lactic acid,n-acetyl-tryptophan,N-acetyl-glucosamine,pantothenic acid,4-hydroxy-2-quinolinecarboxylic acid,phenylalanine,leucine,isoleucine,proline,tyrosine,shikimic acid,N-methyl-glutamic acid,adenosine 5monophosphoric acid,galacturonic acid,glutamic acid,carnosine
exudate-3d-2,exudate,3d,2,10717277.0,966369.5625,1024911.7990000001,24753916.0,5444565.0,1082868.0,189867.7188,85794.34375,30942.566410000003,11706370.0,64280.890629999994,47145.98828,34498.44531,18184.50977,36373.53906,139770.7969,12656172.0,61950.87891,152580.5156,7122249.0,511977.6563,76025.35156,11237139.0,2120796.0,699710.625,108649.7109,461566.5938,112961.9453,119149.4531,0.0,92456.53906,64684.73828,108267.2656,75238.24219,147131.4375,20630.28906,13549.09766,145782.8438,581762.3125,283140.875,21958.45117,15573.47461,6228.395508,16181.40918,59296.62109,12831.17871,0.0,20561.27344,114548.4141,8589.176758
exudate-3d-3,exudate,3d,3,17060702.0,1210168.75,870075.5859,27778908.0,6824009.5,297791.5625,235885.2656,49354.48828,19074.15625,11002271.0,55264.55078,285399.9688,34205.58594,0.0,24998.95508,72959.46094,13805393.0,49167.08594,217108.5156,6115786.5,792350.6875,52227.66797,13887408.0,1821357.875,500636.625,71491.65625,522016.8125,126179.2578,130525.5234,0.0,81652.0,103175.2344,144237.7656,52158.31641,171264.0469,25035.18945,20081.75,183692.1719,599184.0625,372635.0313,15390.94336,20622.33008,10626.82422,11646.95605,49229.67188,13292.69238,0.0,15599.353519999999,128352.2813,15191.80664
exudate-3d-4,exudate,3d,4,13904259.0,1111606.25,663271.7656,26446048.0,5299123.0,434815.0938,183551.2188,66371.73438,0.0,11483255.0,49157.28906,34237.22266,20750.57422,0.0,15571.60645,125831.3047,13752188.0,51477.58984,213450.0938,5728746.5,646531.375,82320.41406,21133554.0,2868817.75,454506.3438,76513.67969,525722.75,102391.1172,128314.4922,0.0,224078.25,87655.33594,128346.6172,62281.69922,169120.5781,19417.95313,20794.06445,174377.9688,450422.8438,356382.7188,12202.25488,19945.50195,10533.24219,17173.26172,51490.97656,11812.12109,0.0,24310.375,121494.4766,0.0
exudate-6d-1,exudate,6d,1,119638024.0,6918632.5,2172488.221,167903152.0,9032937.0,278608.2188,139569.7031,930423.5,132857.0625,11508570.0,156715.0156,29838.00195,50240.76172,44295.80469,67110.48438,1438391.125,82978488.0,321412.875,1196034.625,31136302.0,3265642.5,345722.5,44241684.0,2105093.75,8717080.0,108831.8281,6344424.5,255763.7031,619084.375,21685.67383,205942.3906,538754.0625,943009.8125,178514.7188,626109.4375,130241.4453,29573.16602,2360601.5,5123912.0,1669743.875,21096.55273,54601.83984,17175.5625,13514.77539,59823.203129999994,17289.43164,0.0,27292.29102,124159.8594,6949.989745999999
exudate-6d-2,exudate,6d,2,100057832.0,6205736.5,2396038.418,135937584.0,6614465.0,374908.1563,149706.2344,673615.0,162733.9375,12181212.0,146730.7188,33556.04297,156116.75,0.0,28445.24805,1138335.75,87577728.0,577204.75,1148512.375,31854272.0,2474636.25,332211.3438,48069584.0,3216579.5,8782035.0,173295.875,6665158.0,282974.0938,595806.9375,16970.99219,432060.5938,344404.3125,1067724.5,132052.4688,668911.5625,137997.5625,33185.19141,1760256.0,5297127.0,1654869.125,31651.75977,30123.589839999997,15165.0,13753.78223,53971.59375,13444.261719999999,0.0,22178.42773,131216.875,0.0
exudate-6d-3,exudate,6d,3,140312768.0,5843788.5,1230144.512,143736800.0,9545671.0,646726.75,98721.89844,1067742.625,68731.67188,11602974.0,110238.2813,28324.07422,51243.80859,0.0,58504.03125,610317.875,81932856.0,702465.6875,1985323.5,37678480.0,3073958.5,419670.7188,45176808.0,2959703.5,8054853.0,116879.4453,6168015.5,261169.7813,684229.75,22107.23828,433227.5313,652564.0,779162.125,269246.5313,677061.375,148666.9063,34703.23047,2128997.25,4944025.5,1897332.5,31797.70898,63466.83984,22044.64648,14960.81836,45048.13281,12723.17285,0.0,24995.42969,132278.375,0.0
exudate-6d-4,exudate,6d,4,108914080.0,6542435.0,1517390.32,124733688.0,743212.625,2526771.0,135967.7188,173442.2969,423035.9375,10769734.0,139738.3125,21248.94922,174543.2031,0.0,35341.24609,10178057.0,54933164.0,156188.7031,1204633.25,31829232.0,277319.75,252588.9844,132337048.0,2302132.0,7340889.5,133747.9375,4397328.0,161137.2969,620631.3125,26241.43555,3221719.75,468951.7813,533910.25,176067.6563,64056.32031,42882.87109,25700.78711,363964.3125,2998144.0,1459247.5,15175.92285,56051.88672,19600.68359,32300.652339999997,45219.40234,13365.08789,0.0,19090.03125,102343.1875,0.0
exudate-9d-1,exudate,9d,1,313196800.0,8527838.0,31684216.9,341916640.0,17966282.0,1478638.375,188362.875,9676631.0,302227.5313,12456843.0,406338.25,57509.76172,96577.85156,0.0,0.0,6795900.5,141510704.0,3427053.0,3934309.5,124008768.0,6014805.5,1415665.625,63645340.0,7023957.0,53216396.0,285746.5938,7917664.0,2987554.5,972110.6875,62531.80078,11581435.0,2652601.0,288048.9375,352044.4688,3042246.0,363345.3125,296031.9063,7123230.5,16144428.0,4045504.0,29604.507810000003,99871.88281,19227.0293,16140.46484,1296636.75,29840.75977,0.0,95257.17188,157842.5938,0.0
exudate-9d-2,exudate,9d,2,325169792.0,8135804.0,21883661.55,389195008.0,23419302.0,914544.6875,118976.8359,12560397.0,260341.4844,12486064.0,540293.5,34625.45703,123989.1172,0.0,0.0,9831115.0,182821216.0,5786818.5,3523488.75,134657936.0,6308952.5,1946548.625,70961344.0,8154217.0,55008108.0,336023.4688,10973457.0,3604956.5,1283036.5,41908.24609,9634048.0,3064012.0,338979.1875,511300.1563,3594527.5,410728.9375,434938.0625,10521822.0,18434128.0,3937829.25,34895.56641,173996.7813,21407.65039,17594.94141,1738450.25,37950.18359,0.0,121710.6172,130961.8281,5446.771484000001
exudate-9d-3,exudate,9d,3,305117280.0,4566673.0,7621520.406,389122848.0,21726626.0,2267446.0,559279.0,24023704.0,574803.5625,12658153.0,899374.0625,59001.64844,356224.6875,0.0,0.0,6969740.0,186417888.0,6435831.5,7603714.5,113040520.0,6990055.0,991782.5625,105829432.0,2141857.5,100021888.0,287358.6563,7531458.5,7348953.0,1645870.25,126668.4844,16362419.0,3613482.5,358522.6875,581937.5625,3610382.25,398484.625,357549.2188,9966843.0,22560222.0,3952028.5,58983.99609,196327.0625,36694.00781,25229.80078,53268.48438,43937.45703,0.0,175001.0625,172026.2969,10795.91309
exudate-9d-4,exudate,9d,4,246784400.0,5485870.5,9859150.094,313701824.0,17107220.0,985645.875,352289.9375,23224640.0,441556.9063,11812389.0,1073531.125,46858.50391,286184.7188,31931.36523,35056.19141,9473965.0,150837312.0,356105.5938,5807616.0,110377376.0,5428560.0,686595.0,31842298.0,1578302.625,113733712.0,546839.75,3688769.75,6744573.5,1032949.688,28455.74805,3334244.0,2380012.0,257999.4375,364124.125,2910129.75,290815.75,383747.4375,5961436.5,18569872.0,3259501.75,39059.71484,92175.57813,18264.78516,19240.25195,57145.34766,39996.54297,0.0,114545.6484,149537.5625,7857.592773
exudate-med-ctrl--1,exudate,med,1,39204.14063,0.0,1486076.063,769378.625,3340252.75,2210355.0,0.0,65631.38281,18858.4668,11507339.0,85197.20313,30640.15039,41089.96875,0.0,20638.35156,83766.97656,175971.6719,40955.25781,53938.58203,1101251.5,0.0,51420.34375,21939168.0,2101271.75,183106.0938,86991.39063,31762.41992,84966.94531,41945.375,0.0,195440.5469,0.0,48827.62891,50790.25781,36284.70703,12542.62012,27300.45703,61869.01172,77137.64063,77615.76563,18706.7832,19749.67188,0.0,16229.761719999999,57596.078129999994,15622.42285,0.0,20029.2793,117762.3359,6913.638184
exudate-med-ctrl--2,exudate,med,2,0.0,0.0,453800.3887,680876.75,3512067.0,594517.5,0.0,86911.05469,15664.11621,11426155.0,73368.42969,39714.28516,36198.76172,0.0,19720.42773,80427.02344,169374.7031,37898.53516,87228.125,1075868.75,39674.36719,47329.45703,46909588.0,2772313.0,137275.375,146875.7031,51148.8125,97166.88281,52285.35156,0.0,603825.5625,0.0,81393.32813,50561.56641,41912.50391,14395.84277,11914.43457,55003.421879999994,68845.78906,89359.75781,24962.03711,25463.3418,14655.69043,19503.56836,51692.40625,13112.6748,0.0,23702.89063,124423.8906,6145.681152
